Country,Region,Happiness Rank,Happiness Score,Standard Error,Family,Freedom,Generosity,Dystopia Residual,Year,Lower Confidence Interval,Upper Confidence Interval,Whisker.high,Whisker.low,country,happiness_rank,happiness_score,GDP,life_expectancy,freedom,generosity,government_corruption,dystopia_residual,family
Switzerland,Western Europe,1.0,7.587,0.03411,1.34951,0.66557,0.29678,2.51738,2015,,,,,Switzerland,1.0,7.587,1.39651,0.94143,0.66557,0.29678,0.41978,2.51738,1.34951
Iceland,Western Europe,2.0,7.561,0.04884,1.40223,0.62877,0.4363,2.70201,2015,,,,,Iceland,2.0,7.561,1.30232,0.94784,0.62877,0.4363,0.14145,2.70201,1.40223
Denmark,Western Europe,3.0,7.527,0.03328,1.36058,0.64938,0.34139,2.49204,2015,,,,,Denmark,3.0,7.527,1.32548,0.87464,0.64938,0.34139,0.48357,2.49204,1.36058
Norway,Western Europe,4.0,7.522,0.0388,1.33095,0.66973,0.34699,2.46531,2015,,,,,Norway,4.0,7.522,1.459,0.88521,0.66973,0.34699,0.36503,2.46531,1.33095
Canada,North America,5.0,7.427,0.03553,1.32261,0.63297,0.45811,2.45176,2015,,,,,Canada,5.0,7.427,1.32629,0.90563,0.63297,0.45811,0.32957,2.45176,1.32261
Finland,Western Europe,6.0,7.406,0.0314,1.31826,0.64169,0.23351,2.61955,2015,,,,,Finland,6.0,7.406,1.29025,0.88911,0.64169,0.23351,0.41372,2.61955,1.31826
Netherlands,Western Europe,7.0,7.378,0.02799,1.28017,0.61576,0.4761,2.4657,2015,,,,,Netherlands,7.0,7.378,1.32944,0.89284,0.61576,0.4761,0.31814,2.4657,1.28017
Sweden,Western Europe,8.0,7.364,0.03157,1.28907,0.6598,0.36262,2.37119,2015,,,,,Sweden,8.0,7.364,1.33171,0.91087,0.6598,0.36262,0.43844,2.37119,1.28907
New Zealand,Australia and New Zealand,9.0,7.286,0.03371,1.31967,0.63938,0.47501,2.26425,2015,,,,,New Zealand,9.0,7.286,1.25018,0.90837,0.63938,0.47501,0.42922,2.26425,1.31967
Australia,Australia and New Zealand,10.0,7.284,0.04083,1.30923,0.65124,0.43562,2.26646,2015,,,,,Australia,10.0,7.284,1.33358,0.93156,0.65124,0.43562,0.35637,2.26646,1.30923
Israel,Middle East and Northern Africa,11.0,7.278,0.0347,1.22393,0.41319,0.33172,3.08854,2015,,,,,Israel,11.0,7.278,1.22857,0.91387,0.41319,0.33172,0.07785,3.08854,1.22393
Costa Rica,Latin America and Caribbean,12.0,7.226,0.04454,1.23788,0.63376,0.25497,3.17728,2015,,,,,Costa Rica,12.0,7.226,0.95578,0.86027,0.63376,0.25497,0.10583,3.17728,1.23788
Austria,Western Europe,13.0,7.2,0.03751,1.29704,0.62433,0.33088,2.5332,2015,,,,,Austria,13.0,7.2,1.33723,0.89042,0.62433,0.33088,0.18676,2.5332,1.29704
Mexico,Latin America and Caribbean,14.0,7.187,0.04176,0.91451,0.48181,0.14074,3.60214,2015,,,,,Mexico,14.0,7.187,1.02054,0.81444,0.48181,0.14074,0.21312,3.60214,0.91451
United States,North America,15.0,7.119,0.03839,1.24711,0.54604,0.40105,2.51011,2015,,,,,United States,15.0,7.119,1.39451,0.86179,0.54604,0.40105,0.1589,2.51011,1.24711
